client_id,date,consumption_kwh
C0002,2023-02-23,15.92
C0002,2023-02-24,19.54
C0002,2023-02-25,21.86
C0002,2023-02-26,20.25
C0002,2023-02-27,20.03
C0002,2023-02-28,14.97
C0002,2023-03-01,16.87
C0002,2023-03-02,15.84
C0002,2023-03-03,21.89
C0002,2023-03-04,15.31
C0002,2023-03-05,18.99
C0002,2023-03-06,14.57
C0002,2023-03-07,15.68
C0002,2023-03-08,21.26
C0002,2023-03-09,22.83
C0002,2023-03-10,14.5
C0002,2023-03-11,18.95
C0002,2023-03-12,17.24
C0002,2023-03-13,16.28
C0002,2023-03-14,15.92
C0002,2023-03-15,18.61
C0002,2023-03-16,19.34
C0002,2023-03-17,18.59
C0002,2023-03-18,18.33
C0002,2023-03-19,21.86
C0002,2023-03-20,19.72
C0002,2023-03-21,20.19
C0002,2023-03-22,19.92
C0002,2023-03-23,20.14
C0002,2023-03-24,17.62
C0002,2023-03-25,20.85
C0002,2023-03-26,21.01
C0002,2023-03-27,14.42
C0002,2023-03-28,19.37
C0002,2023-03-29,18.25
C0002,2023-03-30,18.35
C0002,2023-03-31,16.82
C0002,2023-04-01,19.71
C0002,2023-04-02,18.21
C0002,2023-04-03,18.63
C0002,2023-04-04,20.24
C0002,2023-04-05,21.23
C0002,2023-04-06,16.07
C0002,2023-04-07,23.84
C0002,2023-04-08,20.59
C0002,2023-04-09,16.96
C0002,2023-04-10,18.24
C0002,2023-04-11,14.93
C0002,2023-04-12,16.95
C0002,2023-04-13,17.73
C0002,2023-04-14,13.97
C0002,2023-04-15,17.57
C0002,2023-04-16,16.08
C0002,2023-04-17,16.1
C0002,2023-04-18,17.05
C0002,2023-04-19,18.04
C0002,2023-04-20,17.68
C0002,2023-04-21,21.29
C0002,2023-04-22,20.91
C0002,2023-04-23,22.16
C0002,2023-04-24,17.92
C0002,2023-04-25,19.98
C0002,2023-04-26,20.69
C0002,2023-04-27,14.73
C0002,2023-04-28,18.19
C0002,2023-04-29,14.54
C0002,2023-04-30,18.33
C0002,2023-05-01,20.61
C0002,2023-05-02,18.4
C0002,2023-05-03,18.83
C0002,2023-05-04,19.92
C0002,2023-05-05,13.36
C0002,2023-05-06,20.47
C0002,2023-05-07,14.52
C0002,2023-05-08,19.76
C0002,2023-05-09,20.58
C0002,2023-05-10,16.04
C0002,2023-05-11,22.44
C0002,2023-05-12,18.62
C0002,2023-05-13,16.96
C0002,2023-05-14,18.29
C0002,2023-05-15,18.87
C0002,2023-05-16,20.15
C0002,2023-05-17,15.78
C0002,2023-05-18,20.37
C0002,2023-05-19,18.19
C0002,2023-05-20,19.72
C0002,2023-05-21,16.32
C0002,2023-05-22,16.91
C0002,2023-05-23,21.77
C0002,2023-05-24,21.63
C0002,2023-05-25,20.55
C0002,2023-05-26,18.66
C0002,2023-05-27,18.62
C0002,2023-05-28,19.88
C0002,2023-05-29,18.7
C0002,2023-05-30,20.91
C0002,2023-05-31,22.6
C0002,2023-06-01,20.28
C0002,2023-06-02,21.95
C0002,2023-06-03,15.41
C0002,2023-06-04,18.45
C0002,2023-06-05,16.66
C0002,2023-06-06,19.17
C0002,2023-06-07,18.8
C0002,2023-06-08,24.01
C0002,2023-06-09,16.73
C0002,2023-06-10,14.16
C0002,2023-06-11,17.27
C0002,2023-06-12,17.01
C0002,2023-06-13,18.39
C0002,2023-06-14,21.23
C0002,2023-06-15,15.5
C0002,2023-06-16,19.0
C0002,2023-06-17,21.76
C0002,2023-06-18,18.17
C0002,2023-06-19,21.33
C0002,2023-06-20,21.46
C0002,2023-06-21,16.35
C0002,2023-06-22,16.62
C0002,2023-06-23,23.19
C0002,2023-06-24,18.87
C0002,2023-06-25,17.4
C0002,2023-06-26,18.22
C0002,2023-06-27,18.17
C0002,2023-06-28,16.88
C0002,2023-06-29,14.62
C0003,2023-01-01,13.66
C0003,2023-01-02,15.94
C0003,2023-01-03,16.76
C0003,2023-01-04,20.93
C0003,2023-01-05,16.54
C0003,2023-01-06,11.58
C0003,2023-01-07,17.17
C0003,2023-01-08,18.53
C0003,2023-01-09,11.86
C0003,2023-01-10,15.69
C0003,2023-01-11,16.78
C0003,2023-01-12,18.47
C0003,2023-01-13,19.18
C0003,2023-01-14,16.6
C0003,2023-01-15,14.5
C0003,2023-01-16,13.31
C0003,2023-01-17,12.62
C0003,2023-01-18,13.35
C0003,2023-01-19,19.05
C0003,2023-01-20,11.85
C0003,2023-01-21,13.28
C0003,2023-01-22,15.89
C0003,2023-01-23,15.05
C0003,2023-01-24,16.27
C0003,2023-01-25,14.45
C0003,2023-01-26,17.29
C0003,2023-01-27,13.18
C0003,2023-01-28,12.81
C0003,2023-01-29,16.48
C0003,2023-01-30,14.08
C0003,2023-01-31,17.14
C0003,2023-02-01,17.64
C0003,2023-02-02,15.21
C0003,2023-02-03,16.55
C0003,2023-02-04,15.94
C0003,2023-02-05,10.28
C0003,2023-02-06,15.36
C0003,2023-02-07,16.64
C0003,2023-02-08,17.38
C0003,2023-02-09,15.82
C0003,2023-02-10,17.86
C0003,2023-02-11,12.5
C0003,2023-02-12,14.4
C0003,2023-02-13,15.94
C0003,2023-02-14,14.73
C0003,2023-02-15,14.19
C0003,2023-02-16,13.99
C0003,2023-02-17,13.64
C0003,2023-02-18,17.49
C0003,2023-02-19,17.9
C0003,2023-02-20,14.1
C0003,2023-02-21,14.97
C0003,2023-02-22,18.53
C0003,2023-02-23,18.55
C0003,2023-02-24,13.49
C0003,2023-02-25,14.25
C0003,2023-02-26,15.42
C0003,2023-02-27,18.09
C0003,2023-02-28,19.85
C0003,2023-03-01,11.47
C0003,2023-03-02,13.61
C0003,2023-03-03,13.78
C0003,2023-03-04,13.82
C0003,2023-03-05,15.06
C0003,2023-03-06,17.34
C0003,2023-03-07,14.18
C0003,2023-03-08,13.57
C0003,2023-03-09,17.57
C0003,2023-03-10,19.03
C0003,2023-03-11,15.3
C0003,2023-03-12,17.59
C0003,2023-03-13,14.64
C0003,2023-03-14,11.3
C0003,2023-03-15,12.74
C0003,2023-03-16,16.48
C0003,2023-03-17,16.48
C0003,2023-03-18,16.99
C0003,2023-03-19,12.58
C0003,2023-03-20,18.28
C0003,2023-03-21,19.07
C0003,2023-03-22,13.93
C0003,2023-03-23,11.29
C0003,2023-03-24,16.83
C0003,2023-03-25,13.56
C0003,2023-03-26,12.93
C0003,2023-03-27,14.07
C0003,2023-03-28,14.68
C0003,2023-03-29,14.31
C0003,2023-03-30,15.39
C0003,2023-03-31,15.97
C0003,2023-04-01,16.93
C0003,2023-04-02,15.86
C0003,2023-04-03,15.38
C0003,2023-04-04,17.32
C0003,2023-04-05,16.69
C0003,2023-04-06,13.89
C0003,2023-04-07,13.38
C0003,2023-04-08,14.16
C0003,2023-04-09,14.06
C0003,2023-04-10,17.04
C0003,2023-04-11,13.7
C0003,2023-04-12,10.6
C0003,2023-04-13,15.08
C0003,2023-04-14,15.53
C0003,2023-04-15,11.7
C0003,2023-04-16,15.01
C0003,2023-04-17,14.09
C0003,2023-04-18,16.09
C0003,2023-04-19,12.03
C0003,2023-04-20,12.45
C0003,2023-04-21,20.4
C0003,2023-04-22,12.43
C0003,2023-04-23,20.08
C0003,2023-04-24,14.82
C0003,2023-04-25,14.78
C0003,2023-04-26,18.35
C0003,2023-04-27,14.98
C0003,2023-04-28,18.78
C0003,2023-04-29,17.97
C0003,2023-04-30,12.69
C0003,2023-05-01,13.65
C0003,2023-05-02,10.96
C0003,2023-05-03,14.54
C0003,2023-05-04,18.31
C0003,2023-05-05,15.62
C0003,2023-05-06,15.75
C0003,2023-05-07,14.24
C0003,2023-05-08,15.77
C0003,2023-05-09,16.8
C0003,2023-05-10,13.75
C0003,2023-05-11,16.58
C0003,2023-05-12,14.58
C0003,2023-05-13,14.1
C0003,2023-05-14,15.28
C0003,2023-05-15,17.73
C0003,2023-05-16,12.96
C0003,2023-05-17,12.56
C0003,2023-05-18,16.21
C0003,2023-05-19,17.67
C0003,2023-05-20,10.62
C0003,2023-05-21,14.2
C0003,2023-05-22,14.44
C0003,2023-05-23,19.89
C0003,2023-05-24,13.96
C0003,2023-05-25,10.39
C0003,2023-05-26,19.2
C0003,2023-05-27,16.79
C0003,2023-05-28,13.33
C0003,2023-05-29,16.01
C0003,2023-05-30,18.6
C0003,2023-05-31,17.14
C0003,2023-06-01,14.45
C0003,2023-06-02,13.64
C0003,2023-06-03,11.94
C0003,2023-06-04,16.36
C0003,2023-06-05,13.87
C0003,2023-06-06,16.9
C0003,2023-06-07,16.97
C0003,2023-06-08,13.56
C0003,2023-06-09,17.94
C0003,2023-06-10,13.25
C0003,2023-06-11,17.65
C0003,2023-06-12,15.36
C0003,2023-06-13,19.05
C0003,2023-06-14,13.31
C0003,2023-06-15,14.34
C0003,2023-06-16,15.37
C0003,2023-06-17,18.11
C0003,2023-06-18,13.49
C0003,2023-06-19,14.16
C0003,2023-06-20,16.0
C0003,2023-06-21,14.91
C0003,2023-06-22,12.42
C0003,2023-06-23,14.24
C0003,2023-06-24,10.24
C0003,2023-06-25,15.5
C0003,2023-06-26,16.55
C0003,2023-06-27,14.44
C0003,2023-06-28,18.21
C0003,2023-06-29,16.15
C0004,2023-01-01,11.67
C0004,2023-01-02,10.0
C0004,2023-01-03,14.32
C0004,2023-01-04,13.66
C0004,2023-01-05,16.21
C0004,2023-01-06,12.74
C0004,2023-01-07,16.83
C0004,2023-01-08,14.94
C0004,2023-01-09,11.49
C0004,2023-01-10,16.04
C0004,2023-01-11,12.53
C0004,2023-01-12,14.23
C0004,2023-01-13,14.22
C0004,2023-01-14,13.92
C0004,2023-01-15,13.64
C0004,2023-01-16,14.28
C0004,2023-01-17,12.86
C0004,2023-01-18,14.42
C0004,2023-01-19,17.83
C0004,2023-01-20,14.66
C0004,2023-01-21,14.96
C0004,2023-01-22,16.73
C0004,2023-01-23,13.3
C0004,2023-01-24,13.45
C0004,2023-01-25,15.51
C0004,2023-01-26,12.0
C0004,2023-01-27,17.5
C0004,2023-01-28,12.97
C0004,2023-01-29,15.07
C0004,2023-01-30,13.45
C0004,2023-01-31,13.56
C0004,2023-02-01,18.46
C0004,2023-02-02,17.32
C0004,2023-02-03,17.12
C0004,2023-02-04,13.39
C0004,2023-02-05,18.53
C0004,2023-02-06,16.96
C0004,2023-02-07,13.26
C0004,2023-02-08,8.09
C0004,2023-02-09,11.6
C0004,2023-02-10,14.76
C0004,2023-02-11,7.27
C0004,2023-02-12,11.98
C0004,2023-02-13,13.98
C0004,2023-02-14,12.07
C0004,2023-02-15,13.1
C0004,2023-02-16,13.29
C0004,2023-02-17,14.72
C0004,2023-02-18,13.42
C0004,2023-02-19,12.71
C0004,2023-02-20,14.29
C0004,2023-02-21,14.44
C0004,2023-02-22,16.21
C0004,2023-02-23,11.67
C0004,2023-02-24,15.64
C0004,2023-02-25,18.5
C0004,2023-02-26,17.87
C0004,2023-02-27,17.52
C0004,2023-02-28,14.62
C0004,2023-03-01,16.36
C0004,2023-03-02,12.17
C0004,2023-03-03,11.97
C0004,2023-03-04,14.83
C0004,2023-03-05,12.22
C0004,2023-03-06,12.44
C0004,2023-03-07,11.67
C0004,2023-03-08,10.2
C0004,2023-03-09,13.56
C0004,2023-03-10,15.6
C0004,2023-03-11,17.12
C0004,2023-03-12,11.07
C0004,2023-03-13,14.1
C0004,2023-03-14,16.44
C0004,2023-03-15,14.99
C0004,2023-03-16,16.11
C0004,2023-03-17,16.01
C0004,2023-03-18,13.21
C0004,2023-03-19,15.91
C0004,2023-03-20,17.35
C0004,2023-03-21,15.79
C0004,2023-03-22,17.56
C0004,2023-03-23,16.79
C0004,2023-03-24,12.92
C0004,2023-03-25,15.34
C0004,2023-03-26,17.28
C0004,2023-03-27,8.78
C0004,2023-03-28,14.87
C0004,2023-03-29,12.19
C0004,2023-03-30,13.81
C0004,2023-03-31,15.89
C0004,2023-04-01,13.04
C0004,2023-04-02,15.23
C0004,2023-04-03,14.16
C0004,2023-04-04,12.04
C0004,2023-04-05,12.75
C0004,2023-04-06,16.83
C0004,2023-04-07,13.31
C0004,2023-04-08,14.43
C0004,2023-04-09,15.94
C0004,2023-04-10,11.82
C0004,2023-04-11,19.02
C0004,2023-04-12,14.08
C0004,2023-04-13,16.87
C0004,2023-04-14,15.59
C0004,2023-04-15,15.1
C0004,2023-04-16,13.03
C0004,2023-04-17,15.01
C0004,2023-04-18,14.81
C0004,2023-04-19,14.81
C0004,2023-04-20,15.15
C0004,2023-04-21,14.62
C0004,2023-04-22,15.72
C0004,2023-04-23,16.65
C0004,2023-04-24,14.17
C0004,2023-04-25,17.2
C0004,2023-04-26,20.27
C0004,2023-04-27,17.84
C0004,2023-04-28,13.39
C0004,2023-04-29,11.93
C0004,2023-04-30,14.51
C0004,2023-05-01,15.62
C0004,2023-05-02,14.81
C0004,2023-05-03,12.93
C0004,2023-05-04,13.15
C0004,2023-05-05,11.48
C0004,2023-05-06,13.99
C0004,2023-05-07,13.57
C0004,2023-05-08,17.8
C0004,2023-05-09,14.09
C0004,2023-05-10,13.35
C0004,2023-05-11,12.46
C0004,2023-05-12,16.04
C0004,2023-05-13,17.83
C0004,2023-05-14,16.75
C0004,2023-05-15,13.63
C0004,2023-05-16,16.21
C0004,2023-05-17,15.84
C0004,2023-05-18,16.86
C0004,2023-05-19,15.44
C0004,2023-05-20,13.6
C0004,2023-05-21,10.64
C0004,2023-05-22,14.01
C0004,2023-05-23,13.05
C0004,2023-05-24,13.45
C0004,2023-05-25,15.18
C0004,2023-05-26,13.56
C0004,2023-05-27,11.97
C0004,2023-05-28,16.36
C0004,2023-05-29,14.17
C0004,2023-05-30,15.38
C0004,2023-05-31,15.29
C0004,2023-06-01,14.37
C0004,2023-06-02,13.63
C0004,2023-06-03,14.86
C0004,2023-06-04,15.02
C0004,2023-06-05,19.0
C0004,2023-06-06,19.28
C0004,2023-06-07,15.79
C0004,2023-06-08,13.42
C0004,2023-06-09,18.34
C0004,2023-06-10,9.87
C0004,2023-06-11,13.42
C0004,2023-06-12,14.06
C0004,2023-06-13,17.16
C0004,2023-06-14,12.82
C0004,2023-06-15,17.24
C0004,2023-06-16,10.49
C0004,2023-06-17,14.94
C0004,2023-06-18,13.37
C0004,2023-06-19,12.68
C0004,2023-06-20,14.66
C0004,2023-06-21,13.4
C0004,2023-06-22,13.13
C0004,2023-06-23,15.67
C0004,2023-06-24,11.52
C0004,2023-06-25,14.08
C0004,2023-06-26,11.76
C0004,2023-06-27,15.87
C0004,2023-06-28,11.84
C0004,2023-06-29,14.52
C0005,2023-01-01,18.96
C0005,2023-01-02,16.22
C0005,2023-01-03,19.84
C0005,2023-01-04,20.9
C0005,2023-01-05,17.41
C0005,2023-01-06,15.47
C0005,2023-01-07,20.83
C0005,2023-01-08,14.33
C0005,2023-01-09,13.45
C0005,2023-01-10,20.22
C0005,2023-01-11,12.75
C0005,2023-01-12,18.5
C0005,2023-01-13,16.35
C0005,2023-01-14,18.47
C0005,2023-01-15,15.81
C0005,2023-01-16,16.54
C0005,2023-01-17,17.64
C0005,2023-01-18,19.94
C0005,2023-01-19,18.56
C0005,2023-01-20,20.22
C0005,2023-01-21,20.05
C0005,2023-01-22,15.31
C0005,2023-01-23,17.64
C0005,2023-01-24,18.98
C0005,2023-01-25,19.04
C0005,2023-01-26,13.3
C0005,2023-01-27,12.1
C0005,2023-01-28,14.0
C0005,2023-01-29,18.2
C0005,2023-01-30,17.37
C0005,2023-01-31,16.33
